Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Kenya,KEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,73.781,68.182,66.659,63.656,59.38,59.513,57.272,56.313,54.498,..
Kenya,KEN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,20.0345164328349,20.8936374065292,20.314910419968,20.8611638110686,22.7027261604451,21.4770750957252,21.0361920649933,21.4522060902205,22.4728462758555,..
Kenya,KEN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,19.4782608695652,19.4782608695652,19.4782608695652,19.4782608695652,19.4782608695652,19.4782608695652,19.4782608695652,..,..,..
Kenya,KEN,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,70.2,..,..,..,..,..,..,..,..,..
Kenya,KEN,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,61.1741487617736,59.9682382404727,61.9209893809262,59.8006521261165,65.1162106221682,64.7,62.5,..,..,..
Kenya,KEN,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,51.507769603922,51.1569884422188,49.3065467565552,49.0328652948659,54.9956353737916,55.894312639068,55.4371841393137,55.6956481760188,..,..
Kenya,KEN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,173.266602252732,175.597404158555,178.142110438668,175.810605144907,172.643819770653,184.426039295693,189.355465367737,190.082933008388,195.293727720461,..
Kenya,KEN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,533.407778503543,538.606903918261,546.495296692888,543.883187157453,534.753957479746,539.778643234306,541.12804988998,544.940571966597,539.298427448329,..
Kenya,KEN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,13.2497448006759,12.7366599413725,12.541975333359,11.4279956869332,11.4410451821593,13.1097382018218,15.9570283629469,16.890666978856,17.0656153005354,..
Kenya,KEN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,21057671043.3,26951349499.4,31433802015.7,34970099589.9,38038451074.1,41219100011.5,41556299639.8,42910026054.2,42886127218.3,..
Kenya,KEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.689,3.609,3.536,3.433,3.364,3.312,3.262,3.208,3.167,..
Kenya,KEN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,469533310.683932,1346085345.21691,767761506.730644,469940266.776669,-5403752.28986896,419719612.932137,791581760.055161,507964511.417799,463439704.196417,..
Kenya,KEN,Forest area (sq. km),AG.LND.FRST.K2,35519.7,35815.3,36110.9,36110.9,36110.9,36110.9,36110.9,36110.9,..,..
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,74815144163.8931,82036510877.2599,92202979985.2863,100378436207.371,100657505750.545,109703658904.994,114448978152.637,107500884685.013,120339557905.932,..
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.21351706814744,3.83795817364721,5.64794640709219,5.11415885767801,-0.272766327438816,7.59048947333467,4.85998104287999,5.71999241214208,4.72473994710138,..
Kenya,KEN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1490,1540,1720,1880,1910,2070,2170,2110,2090,..
Kenya,KEN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,3860,4100,4350,4610,4760,5260,5790,6210,6540,..
Kenya,KEN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,71748257092.2357,75691962706.1825,86589036361.0521,96154458897.4586,99712048015.3376,110339108512.713,117689640763.894,116894402470.054,117782856944.133,..
Kenya,KEN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,186000269591.319,201600741005.068,218150951745.001,236169875961.746,248575224867.849,280169164036.839,314271691878.348,343571124194.227,369117305444.807,..
Kenya,KEN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,19.3484358309332,20.6634949022773,19.3759862497025,19.3418324204191,19.6515841707054,20.3912447822361,19.0540638513609,16.5707504717762,16.7771560971022,..
Kenya,KEN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,7.58623435569943,3.34859041785183,3.61296275113367,4.59327769222193,5.11178261072947,3.12736061396888,2.26073811025712,3.04169416728318,3.15003013612034,..
Kenya,KEN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93,84,92,92,89,90,89,91,88,..
Kenya,KEN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,21.6152747725065,23.2583979340349,21.8727778433835,20.3314661545478,18.9580936008817,21.8923095777051,24.3182954744092,24.2204234378835,23.1203986963402,..
Kenya,KEN,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,7.3,7.2,7.1,..,..,..
Kenya,KEN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,18.1621592865164,17.5035092078691,17.313146131064,16.9305452274709,17.4002876322786,17.1524357767952,17.5274480968435,17.1222148239844,16.4676669412723,..
Kenya,KEN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,5.84962894648808,7.58193402820181,4.21502841459056,4.2752342393575,4.94885283291357,4.3307475585662,6.95705445631218,5.41580564449526,3.05241235537947,..
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.526,62.725,62.825,62.939,61.596,61.225,63.549,63.646,63.834,..
Kenya,KEN,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,26.4679032852238,27.3463604925433,25.4113261889572,23.405425395813,21.3287621622631,23.9718531382575,24.9692050215491,23.9774770928872,23.5375636182255,..
Kenya,KEN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.24730980077159,1.23759400127025,1.20738536752593,1.1125711791299,1.10843419595019,1.07720025210221,1.01020520038813,0.975388127956637,0.999546585264659,..
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,80.9772361004341,87.026530838819,98.5944679106884,106.547822056778,117.602526394779,122.297519656734,121.168999135357,120.612416887959,126.477706000949,..
Kenya,KEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,45.5,44.7,43.7,42.7,42.1,41.3,40.5,39.6,38.8,..
Kenya,KEN,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,97.4,100.7,95.8,94.2,98.4,91.7,86.5,91.9,..,..
Kenya,KEN,Net migration,SM.POP.NETM,-29728,-68702,-115436,-61949,-17111,-52552,-10003,-10003,-19781,-27330
Kenya,KEN,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,2188385498.04688,2480221923.82813,2491010253.90625,3173125732.42188,3990595703.125,3178648437.5,2639365234.375,2595822998.04688,..,..
Kenya,KEN,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1744639174.70127,1962273106.47771,2720366061.45974,2838192215.41576,3107932253.39579,3770089638.54768,4059710201.31201,4227611606.30686,4999830478.63973,..
Kenya,KEN,Population density (people per sq. km of land area),EN.POP.DNST,84.0057771361452,85.5601194522199,87.019449386981,88.4453894988127,89.8940686683206,91.6187594501618,93.3976149483117,95.2681371231706,..,..
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2.20775684612709,2.17412854990493,2.03083744189606,1.96381549826771,1.96197633664853,1.90040858948898,1.92297608206469,1.98296028478422,1.95751431565234,..
Kenya,KEN,"Population, total",SP.POP.TOTL,48139687,49197766,50207107,51202827,52217334,53219166,54252461,55339003,56432944,..
Kenya,KEN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,44.4,46.4,45.5,..,..,..
Kenya,KEN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,42.9,38.6,39.8,..,..,..
Kenya,KEN,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,4.5,4.3,4.1,3.9,3.7,3.6,3.4,3.2,3,..
Kenya,KEN,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,13,..,..,..,..,..,9.8,..,..,..
Kenya,KEN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,102.200240064297,..,..,..,..,..,..,..,..,..
Kenya,KEN,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,19.0657755266586,21.1458721961561,18.6789342149032,19.0978050742836,17.6588131025385,17.3452383502575,17.8826094865972,18.6388294257783,..,..
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,104.114852905273,101.957891317521,99.770420205161,77.5132254988803,91.9542486020668,93.7669067632864,98.551967362001,98.2483475806861,..,..
Kenya,KEN,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,..,..,..,..,..,..,..,..
Kenya,KEN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,74.4698594945796,..,..,..,..,80.3774269704216,83.7738192286218,84.3083880306996,..,..
Kenya,KEN,Surface area (sq. km),AG.SRF.TOTL.K2,580370,580370,580370,580370,591969,591969,591969,591969,..,..
Kenya,KEN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,14.9664727307544,15.0524641340645,14.3612789172776,15.1001093470909,14.2998226320714,13.554644324086,14.5993496343343,14.0631113797385,..,..
Kenya,KEN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,10.5,10.5,10.5,10.5,10.5,10.5,10.3,10.3,11.8,11.8
Kenya,KEN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,11.1736382993382,14.5974443871521,23.6995062707777,38.427302443419,24.2889288609468,16.7806362225923,18.1305777110906,21.1131036239564,27.2238636965006,..
Kenya,KEN,Urban population growth (annual %),SP.URB.GROW,1.94412145361079,1.81999315235204,1.57205418501422,1.31045798383375,2.01580298696557,2.16149826618772,2.37850108910584,2.62438320012559,2.77842851424254,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,
